"start time",	"request type",	"latency",	"response code"
1612918973987	, Post request	, 87	, 200
1612918974074	, Post request	, 88	, 200
1612918974162	, Post request	, 83	, 200
1612918974245	, Post request	, 83	, 200
1612918974328	, Post request	, 86	, 200
1612918974414	, Post request	, 86	, 200
1612918974500	, Post request	, 88	, 200
1612918974588	, Post request	, 88	, 200
1612918974676	, Post request	, 93	, 200
1612918974769	, Post request	, 85	, 200
1612918974854	, Post request	, 85	, 200
1612918974940	, Post request	, 86	, 200
1612918975026	, Post request	, 86	, 200
1612918975112	, Post request	, 90	, 200
1612918975202	, Post request	, 88	, 200
1612918975290	, Post request	, 89	, 200
1612918975379	, Post request	, 89	, 200
1612918975468	, Post request	, 83	, 200
1612918975551	, Post request	, 83	, 200
1612918975634	, Post request	, 86	, 200
1612918975720	, Post request	, 86	, 200
1612918975806	, Post request	, 94	, 200
1612918975900	, Post request	, 88	, 200
1612918970287	, Post request	, 482	, 200
1612918970778	, Post request	, 103	, 200
1612918970881	, Post request	, 94	, 200
1612918970975	, Post request	, 92	, 200
1612918971067	, Post request	, 89	, 200
1612918971156	, Post request	, 87	, 200
1612918971243	, Post request	, 94	, 200
1612918971337	, Post request	, 88	, 200
1612918971426	, Post request	, 90	, 200
1612918971516	, Post request	, 89	, 200
1612918971605	, Post request	, 84	, 200
1612918971689	, Post request	, 89	, 200
1612918971778	, Post request	, 86	, 200
1612918971864	, Post request	, 87	, 200
1612918971951	, Post request	, 88	, 200
1612918972039	, Post request	, 88	, 200
1612918972127	, Post request	, 89	, 200
1612918972216	, Post request	, 88	, 200
1612918972304	, Post request	, 87	, 200
1612918972391	, Post request	, 89	, 200
1612918972480	, Post request	, 87	, 200
1612918972567	, Post request	, 92	, 200
1612918972659	, Post request	, 84	, 200
1612918972743	, Post request	, 88	, 200
1612918972831	, Post request	, 85	, 200
1612918972916	, Post request	, 90	, 200
1612918973006	, Post request	, 90	, 200
1612918973096	, Post request	, 88	, 200
1612918973184	, Post request	, 87	, 200
1612918973271	, Post request	, 84	, 200
1612918973355	, Post request	, 89	, 200
1612918973444	, Post request	, 86	, 200
1612918973530	, Post request	, 89	, 200
1612918973619	, Post request	, 89	, 200
1612918973708	, Post request	, 89	, 200
1612918973797	, Post request	, 86	, 200
1612918973883	, Post request	, 91	, 200
1612918973974	, Post request	, 86	, 200
1612918974060	, Post request	, 87	, 200
1612918974147	, Post request	, 88	, 200
1612918974235	, Post request	, 87	, 200
1612918974322	, Post request	, 92	, 200
1612918974414	, Post request	, 88	, 200
1612918974502	, Post request	, 86	, 200
1612918974588	, Post request	, 88	, 200
1612918974676	, Post request	, 95	, 200
1612918974771	, Post request	, 85	, 200
1612918974856	, Post request	, 84	, 200
1612918974940	, Post request	, 86	, 200
1612918975026	, Post request	, 88	, 200
1612918975114	, Post request	, 88	, 200
1612918975203	, Post request	, 87	, 200
1612918975290	, Post request	, 89	, 200
1612918975379	, Post request	, 91	, 200
1612918975470	, Post request	, 87	, 200
1612918975557	, Post request	, 88	, 200
1612918975645	, Post request	, 85	, 200
1612918975730	, Post request	, 89	, 200
1612918975819	, Post request	, 88	, 200
1612918975907	, Post request	, 87	, 200
1612918970287	, Post request	, 485	, 200
1612918970772	, Post request	, 200	, 200
1612918970972	, Post request	, 91	, 200
1612918971063	, Post request	, 92	, 200
1612918971155	, Post request	, 94	, 200
1612918971249	, Post request	, 93	, 200
1612918971342	, Post request	, 89	, 200
1612918971431	, Post request	, 86	, 200
